Tipo;ID;Capacidade;Extra1;Extra2;Recursos
GERAL;GERAL_A;30;2;14:00-18:00;Monitor;Esfinganometro
GERAL;GERAL_B;20;1;15:00-19:00;Oxigenio
PSIQUIATRICA;PSI_A;12;10:00-12:00;ALTO
PSIQUIATRICA;PSI_B;15;16:00-18:00;MEDIO
INTENSIVOS;UCI_A;8;12:00-13:00;1.2;1.0
INTENSIVOS;UCI_B;10;11:00-12:00;0.9;1.1
GERAL;G1;4;2;09:00-19:00;Monitor; Esfinganometro
PSIQUIATRICA;P1;3;14:00-17:00;ALTO
INTENSIVOS;U1;2;11:00-12:00;755.2;760.0
GERAL;G2;5;1;10:00-18:00;Oxigenio;Telemetria
DESCONHECIDO;X1;3;1;08:00-20:00;Equipamento X
GERAL;G3;-2;0;08:00-16:00;Ventilador
GERAL;;4;1;09:00-18:00;Oxigenio
GERAL;GERAL_A;3;2;08:00-17:00;Desfibrilhador
INTENSIVOS;U2;1;08:00-09:00;abc;760.0
